1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
67108 522 257 736 5114 0 2151 1589 14 23 71 49 82 409 515 915 1124 1694 298 351 514 168 204 158 942 1356 23 569 867 1988 1840 896 207 7893 2016 5933 2049 1413 172 498 830 19971 2989 2715 31 6257 2261 779 1938 897 158 168 678 288 332 178 1095 254 95 2582 550 286 806 4080 1749 1292 21 1779 303 1293 1030 1237 567 1038 5179 1801 2801 279 466 880 4194 621 448 668 37 648 452 961 154 772 12418 12953 1459 1164 648 520 28993 6877 377 243
18676 620 325 817 6172 0 2450 1909 17 22 79 47 88 450 654 1155 1410 1885 334 479 634 118 289 187 1145 1551 15 584 969 2310 2082 908 304 8552 2116 6710 2248 1600 154 518 1049 23501 3606 3423 41 8097 2926 854 2563 1033 153 165 679 353 395 201 1347 316 87 2928 541 299 858 4467 2249 1563 44 2334 383 1695 1439 1643 417 1454 6976 2516 3663 363 626 1077 5465 846 714 956 42 626 677 1183 215 884 14312 15411 1755 1467 877 649 36513 7946 463 289
10051 746 390 858 8049 0 2053 1737 5 18 62 48 88 444 670 1174 1247 1555 278 421 629 165 192 115 1056 1306 32 555 933 2152 2072 980 245 8047 1831 6901 2038 1374 181 496 968 28714 4606 4628 44 9393 2704 990 2620 1005 178 172 661 343 522 296 1377 440 103 2684 478 339 878 4584 2258 1772 35 2355 358 1816 1429 1756 343 1708 7290 3182 3288 423 641 1052 6375 909 769 984 60 543 878 1170 197 850 15764 16995 2032 1711 965 680 40307 8508 422 299
7091 529 291 780 5430 0 1695 1229 14 13 50 34 70 326 512 887 803 1210 187 289 443 135 149 102 773 971 27 452 722 1699 1445 697 176 6844 1311 5164 1688 1045 90 398 732 19764 2821 2836 23 5937 1624 527 1905 770 133 136 544 258 307 209 905 386 81 2157 434 265 678 3292 1529 1149 20 1569 247 1306 879 1092 255 1087 4999 2066 2191 267 372 703 4238 600 522 735 40 316 509 851 151 669 11247 11746 1259 1101 562 457 28137 5613 325 198
56857 542 312 1068 4620 0 1743 1104 7 15 46 31 75 266 437 764 702 1106 179 308 443 110 178 120 759 943 21 408 752 1692 1434 712 205 7207 1450 5267 1846 1076 104 474 671 17537 2506 2495 28 5139 1370 441 1593 766 96 144 389 197 353 161 939 323 85 2016 423 239 724 3212 1393 1033 23 1457 190 1183 851 944 238 895 4533 1918 1833 257 350 629 3649 523 496 576 30 303 408 825 116 566 11043 10230 1084 994 495 416 24826 5664 269 219
86657 475 271 957 5065 0 1929 1384 11 19 38 28 58 259 560 861 699 1159 214 352 496 111 167 153 851 1092 45 489 758 1747 1594 766 212 7031 1542 5823 1787 1165 122 505 750 18196 2370 2605 22 5135 1282 464 1459 754 117 111 515 245 315 150 921 306 93 2187 470 271 650 3423 1403 989 11 1568 244 1292 898 942 303 978 4616 1772 2008 266 379 767 3553 550 489 627 25 366 454 807 131 570 10987 10458 1265 1075 475 414 25089 5869 292 197
81880 495 213 948 4731 0 1852 1357 16 18 37 29 55 253 462 679 678 1220 250 341 437 114 169 124 810 1072 16 477 774 1726 1543 774 193 7186 1442 5752 1850 1240 118 403 752 16901 2130 2500 28 4726 1259 422 1365 782 103 130 360 222 286 140 891 260 104 2112 378 288 627 3237 1334 935 17 1577 247 1144 888 974 256 930 4191 1569 1956 236 367 698 3320 488 418 531 32 354 426 839 122 528 10655 9909 1156 984 459 398 24782 6059 308 210
32648 599 281 751 5573 0 2161 1724 13 28 49 35 75 343 526 830 934 1609 336 423 570 111 227 181 974 1385 29 622 1001 2062 2008 822 209 8123 1786 6841 2116 1471 142 463 806 20190 2424 2481 31 5842 1611 663 1643 883 123 163 470 262 301 173 961 221 97 2707 510 300 663 3805 1664 1164 20 1943 294 1564 1031 1156 458 981 4813 2244 2441 246 484 797 3804 594 493 720 28 614 528 938 134 652 12891 12678 1428 1213 536 513 28995 7496 408 264
29001 582 301 690 5910 0 2335 2018 6 20 71 35 68 440 591 1048 1221 1892 373 461 639 173 224 190 1217 1590 33 663 1080 2188 2214 908 232 8197 1999 7858 2263 1601 156 518 951 24032 2915 3627 45 7444 1963 790 2027 968 163 147 525 278 366 232 1134 343 103 2955 510 282 908 4217 2198 1491 28 2345 403 1918 1436 1621 364 1390 6510 2710 3426 357 580 1113 5026 807 629 867 39 591 772 1195 169 813 13996 14818 1761 1455 800 576 36209 8111 510 302
48663 700 348 877 6865 0 2270 1671 8 25 89 42 71 389 680 1056 1170 1568 283 406 622 147 182 158 981 1353 30 593 913 2062 2055 863 209 7696 1667 6857 1909 1302 128 465 953 24605 4060 5333 25 9061 2776 1047 2213 1051 151 142 457 308 432 275 1207 356 89 2875 444 294 845 3377 2226 1608 27 2390 391 1951 1614 1989 337 1424 6649 3117 3005 372 636 1063 5455 838 585 902 48 518 1035 1216 197 806 14501 16758 1730 1833 754 663 40251 7403 409 348
68755 455 254 751 5086 0 1755 1184 5 16 51 34 46 242 526 820 770 1272 214 337 473 114 138 140 840 898 30 450 649 1726 1537 658 168 6668 1267 5199 1560 1048 108 393 745 17278 2393 3566 34 5924 1764 718 1626 807 108 141 331 223 339 185 962 272 57 2469 382 263 594 2484 1479 1131 19 1558 253 1344 1013 1125 214 906 4667 1989 2106 254 450 723 3773 544 482 652 28 346 553 866 92 586 10522 12000 1060 1257 459 409 28471 5153 285 249
20140 410 251 848 4966 0 1908 1104 6 4 74 28 43 245 324 662 674 1219 266 377 471 113 178 163 725 1046 26 495 672 1715 1663 678 217 7167 1421 5448 1743 1098 121 395 633 16117 2080 2657 17 4911 1559 558 1392 756 109 105 338 196 309 157 945 232 72 2273 399 227 620 2466 1308 853 22 1456 240 1254 947 1030 207 825 4199 1831 1880 237 371 712 3454 551 438 653 30 301 531 831 105 580 9928 10726 1007 1128 382 396 26066 5146 253 222
112405 523 259 846 4194 0 1881 1025 12 16 44 29 53 232 389 590 664 1185 315 353 430 122 141 182 728 1090 16 524 745 1772 1639 691 185 7000 1465 5665 1793 1144 111 384 724 15339 1957 2608 39 4653 1416 548 1307 777 134 111 319 215 292 161 825 186 85 3004 387 243 632 2432 1334 859 19 1437 259 1368 933 1067 199 851 3825 1637 1892 218 353 684 3032 522 365 610 19 334 528 777 87 650 10448 11045 918 1117 386 336 25451 4779 289 238
62649 417 266 746 4416 0 2278 1155 12 18 55 31 55 283 379 641 770 1387 390 465 492 166 190 175 809 1411 33 625 798 1899 1870 747 209 7466 1466 6339 1977 1434 135 427 757 15601 2203 2786 28 5037 1436 681 1456 782 86 116 326 198 266 146 854 224 83 3287 389 246 645 2704 1397 875 15 1503 254 1496 1006 1154 233 871 4113 2069 2162 236 373 726 3110 522 394 647 23 350 578 932 113 771 10788 12027 1021 1224 396 389 26741 5176 322 271
6953 451 292 824 4901 0 2690 1338 10 12 54 46 46 319 463 806 925 1697 472 687 632 140 186 208 968 1664 36 762 924 2284 2159 852 229 7633 1752 7171 2473 1445 127 490 896 18163 2630 3055 30 5931 1706 686 1609 794 118 107 362 220 333 154 953 178 95 4707 443 290 821 3687 1749 1118 33 1932 307 1987 1159 1228 434 874 4465 2080 2775 222 495 788 3609 557 457 703 27 600 625 1152 102 976 12160 14070 1249 1396 511 404 31101 5911 353 309
25983 603 293 618 5863 0 2697 1451 8 21 73 49 65 410 629 931 1107 1678 506 930 654 111 199 208 1079 1678 24 889 895 2394 2410 884 285 7847 1837 7459 2289 1522 188 502 1062 20301 3027 3935 26 7120 2182 754 1901 863 132 127 437 249 363 220 1144 178 129 4154 443 288 907 4010 2100 1353 20 2338 365 2560 1550 1793 280 1123 5413 2548 3453 258 616 676 4369 671 528 881 24 522 1019 1299 123 1245 13089 15693 1439 1580 572 372 38676 6683 451 348
89082 663 393 892 6699 0 2158 1554 10 19 51 36 82 395 679 955 1060 1611 284 427 637 143 221 124 1106 1356 29 645 848 2371 2336 830 198 7745 1545 6788 2140 1423 131 432 947 23406 4216 5172 30 9773 2980 1081 2348 852 134 140 416 274 488 284 1391 404 60 3364 475 281 895 3871 2236 1772 25 3309 390 2394 1636 2002 276 1231 6273 3663 3330 352 563 889 5637 816 640 995 40 438 1172 1299 163 1150 14362 17479 1710 1774 672 539 41868 7707 403 354
78788 542 240 664 5332 0 1624 1040 5 7 63 46 58 240 391 694 654 1179 176 317 420 135 176 103 812 948 24 444 593 1771 1693 691 129 6930 1357 5256 1859 1063 108 369 694 16140 2677 3228 37 5837 1763 601 1577 637 121 112 358 222 335 174 1009 292 68 2874 323 257 571 2972 1538 1183 15 2039 264 1482 985 1117 215 889 4242 2291 2168 242 395 658 3940 596 497 570 33 312 645 839 84 865 10460 12202 1004 1143 427 364 28571 5307 279 248
111394 499 276 810 4830 0 1831 955 14 11 45 37 49 220 392 642 530 1230 163 318 378 103 176 126 761 905 22 493 669 1712 1747 654 172 6821 1303 5180 1821 1132 95 352 698 14392 2398 2905 23 5022 1386 481 1306 667 95 114 265 189 290 159 806 205 79 2947 318 265 639 2825 1388 1053 21 1829 226 1251 918 955 174 724 3620 2026 1941 257 398 517 3632 504 429 553 33 280 524 805 80 754 9303 10751 838 1098 382 308 25412 5058 247 246
67958 422 243 755 4779 0 1974 1132 11 11 44 22 46 258 362 635 510 1373 219 308 426 91 182 137 763 1083 24 451 676 1882 1922 662 194 6995 1399 5709 1968 1267 146 465 777 14004 2225 2907 24 4918 1329 563 1600 666 97 107 291 188 317 176 862 200 80 2754 330 258 611 2794 1434 1088 16 1849 250 1479 928 990 229 828 3685 1759 1876 201 388 637 4260 499 354 605 33 346 562 855 84 749 9867 10708 1009 1052 370 289 24648 5506 258 292
17826 487 246 641 5125 0 2198 1251 7 9 37 31 53 291 439 609 614 1427 231 305 460 96 202 138 878 1119 27 552 756 2065 2054 726 199 6962 1411 6221 1864 1348 110 456 774 14090 2033 2546 25 5043 1453 473 1577 637 90 114 313 221 337 193 828 145 72 2853 387 313 685 2896 1423 1168 17 1891 244 1482 958 1163 268 740 3935 1740 1983 211 382 611 4176 522 403 560 31 388 594 937 84 738 10416 11218 977 1105 382 336 25908 5698 323 309
54176 410 316 757 4477 0 2599 1434 8 11 60 39 67 318 478 721 768 1751 327 462 453 115 203 176 1019 1446 34 730 933 2393 2628 827 203 8110 1686 7410 2425 1689 140 434 882 16039 2448 3099 33 5118 1617 550 1694 693 100 104 298 216 348 184 924 400 59 3449 402 322 753 3041 1733 1295 26 2100 311 1673 1053 1184 352 905 4221 1798 2503 181 468 715 5379 574 461 628 23 580 654 1015 98 773 12089 13471 1208 1235 571 373 29295 6724 386 335
9307 544 304 785 6383 0 2849 1896 9 29 68 49 83 437 678 971 1052 1975 384 506 601 151 239 168 1097 1729 65 768 933 2713 2934 896 266 8619 1959 8526 2664 1634 171 448 1009 19645 2977 4191 31 6930 2073 702 2072 828 146 139 300 235 430 208 1066 266 78 3541 451 307 840 3402 2306 1615 31 2691 372 2146 1602 1936 314 1332 5934 2500 3257 299 625 821 6860 786 542 966 41 525 1052 1243 141 921 13686 16381 1473 1622 838 500 37377 7563 498 335
8949 685 406 752 7511 0 2748 1997 2 26 86 57 51 517 706 1184 1109 1979 277 576 671 123 217 187 1177 1852 34 760 1033 2869 2756 845 208 8206 1992 8342 2573 1579 156 466 1080 24867 3757 5416 36 9180 3114 958 2207 906 180 114 387 299 452 318 1323 447 61 3246 484 315 837 4040 2491 1880 26 2281 331 2296 1706 2177 305 1593 6833 2960 3215 360 692 1008 7926 867 711 1099 53 466 1040 1357 192 1028 14801 18298 1849 1688 1260 632 41069 6893 509 330
28547 491 278 823 5171 0 2297 1417 9 19 56 25 53 356 407 749 674 1585 233 400 437 129 158 154 953 1479 35 576 746 2118 2141 635 219 7489 1467 6384 2419 1148 120 323 796 16981 2325 3422 29 5516 1721 620 1505 757 93 115 330 216 435 134 948 262 46 2372 391 317 613 2810 1700 1196 20 1573 225 1475 977 1143 222 980 4519 1647 1992 250 429 704 4980 588 462 667 22 276 506 963 111 717 10200 11891 1034 1028 738 391 27855 4484 363 235
78316 462 293 651 4541 0 2318 1343 6 10 41 34 45 364 333 703 576 1542 235 416 404 126 184 171 840 1366 46 587 792 2228 2314 682 185 7483 1523 6704 2396 1292 113 387 776 14741 1823 2746 25 4852 1361 481 1263 625 76 114 316 208 306 144 804 203 53 2774 419 247 589 2613 1554 1135 15 1337 209 1346 900 1006 177 995 4253 1535 1886 243 332 717 4496 502 393 598 31 293 437 877 126 612 9673 10645 946 955 754 350 24740 4520 314 209
102483 392 232 623 4360 0 2447 1405 6 12 42 33 44 327 408 685 597 1634 284 419 462 115 184 196 900 1461 38 644 798 2498 2501 746 194 8004 1571 7394 2716 1345 130 402 806 15167 1759 2913 20 4672 1332 439 1201 640 111 121 283 164 272 196 779 252 92 2216 382 289 589 2903 1545 1050 20 1307 208 1363 892 1108 216 944 4022 1495 1805 242 369 825 3815 487 373 566 19 349 405 940 117 774 9884 10387 881 894 743 323 23998 4610 299 236
6982 421 258 820 4298 0 2789 1589 10 11 63 35 40 343 448 747 683 1752 332 510 485 112 247 228 941 1633 35 753 876 2585 2649 744 218 8613 1725 8356 2635 1459 129 477 800 15020 1873 2774 28 4551 1298 521 1337 665 111 94 314 169 280 134 777 205 71 2292 339 223 619 3242 1500 1045 20 1474 260 1402 871 1246 197 1042 4046 1534 1790 210 351 708 3903 513 358 575 28 392 383 994 99 687 10003 11163 914 901 1007 273 25782 4869 315 279
35285 471 263 723 4800 0 3557 1745 21 19 49 39 57 397 552 813 962 2170 382 662 573 154 295 272 1113 2010 52 952 1015 3332 3254 883 272 9944 2078 10364 3555 1829 132 475 970 17983 2442 3461 35 5761 1337 547 1535 779 108 119 393 218 358 194 965 247 77 2919 424 317 794 3897 1780 1674 13 1964 287 1787 1217 1567 373 1044 4639 1866 2376 254 539 869 4254 559 440 678 39 598 559 1183 143 737 11750 13231 1166 1072 1064 374 30338 6472 424 337
55725 519 340 572 5876 0 4067 2044 25 31 85 61 76 531 660 1101 1347 2460 433 847 589 151 375 356 1388 2386 50 1109 1158 4024 3886 899 249 10787 2482 11678 3847 1913 164 504 1095 21472 2903 4047 39 7996 1908 700 1929 861 161 139 447 278 316 200 985 251 93 3040 453 396 885 4314 2298 1511 26 2527 368 2393 1659 2213 251 1658 6443 2619 3254 302 652 1050 5460 761 582 980 46 631 820 1581 221 1034 13271 16135 1573 1384 1325 448 37378 7262 486 329
35327 741 356 1023 7254 0 3844 1808 11 14 83 63 78 502 603 1231 1242 2461 398 729 628 164 314 346 1325 2493 44 1000 989 4065 4021 906 260 10525 2328 11715 3846 1914 125 524 1139 23063 4039 5056 36 8625 2204 773 2198 874 122 114 350 321 460 266 1221 361 89 2790 525 292 856 4549 2187 1785 26 2491 395 2139 1616 2192 232 1832 6559 2850 3120 308 653 949 5506 759 621 920 68 570 864 1646 181 1092 14652 18392 1487 1629 1679 560 40645 7623 535 390
78656 533 279 925 5287 0 3318 1341 6 3 57 33 40 320 530 880 899 1903 308 583 442 120 293 317 1090 1906 63 923 820 3735 3474 691 295 9728 1932 9751 3729 1823 119 366 886 16720 2561 3496 17 5568 1453 509 1541 696 70 114 312 231 342 195 881 289 78 2182 421 284 673 3323 1721 1079 24 1722 251 1447 1145 1264 189 1317 4612 1766 2186 277 403 776 3611 573 498 597 25 378 475 1199 142 838 10491 13096 983 1188 1106 426 28653 5212 390 297
84201 577 212 863 5396 0 3562 1258 24 14 66 72 44 332 519 817 784 1923 353 652 444 136 303 393 1114 1941 42 980 913 4314 3845 730 205 10296 1937 11014 4082 1857 129 442 912 15357 2378 2961 17 4597 1248 439 1304 676 86 101 281 205 262 168 834 204 67 2186 428 246 624 3496 1561 996 19 1713 239 1593 1038 1281 225 1331 4223 1544 1816 263 349 725 3362 553 421 582 35 376 476 1331 109 817 9791 12330 858 1041 1206 338 25920 5229 353 318
7168 501 278 819 4808 0 4215 1389 16 17 56 80 56 405 512 1127 836 2631 477 836 516 183 378 556 1606 2408 41 1360 929 5337 4652 809 262 11951 2271 13128 5177 2056 148 502 901 15768 2524 2879 27 4464 1125 435 1439 664 70 125 293 241 262 158 825 239 92 2215 476 281 771 3873 1738 1002 20 1819 289 1705 1188 1281 222 1581 4584 1352 2021 242 385 673 3533 517 373 618 36 414 458 1510 100 1049 10450 13328 961 1068 1549 396 26777 5985 452 304
48100 483 260 887 4895 0 4577 1629 22 17 65 82 79 467 529 983 869 2875 550 1030 584 212 467 693 1850 2772 63 1555 1009 5789 5293 808 239 13409 2832 15051 5832 2206 148 600 940 15852 2427 2982 31 4275 1099 413 1365 791 79 119 314 227 305 159 717 201 91 2317 452 295 787 3955 1734 1097 21 2032 345 2034 1307 1389 247 1820 4840 1400 2178 228 431 710 3785 540 412 642 38 584 493 1945 133 1139 10628 14569 1088 1198 1783 349 28589 6334 495 351
91322 702 337 885 6395 0 6192 2104 36 43 102 155 86 583 741 1608 1286 3889 875 1496 850 271 687 1027 2690 4166 86 2212 1411 9007 7702 1006 314 18649 3989 21604 8169 3041 241 744 1334 19706 3140 3409 26 5568 1439 539 1638 1004 92 124 387 311 392 179 1009 217 93 3104 579 384 914 4850 2239 1611 13 2882 388 3020 1936 2075 498 2499 6550 1801 2955 230 610 848 4799 747 586 1010 44 1192 734 2953 194 1528 13734 18602 1623 1690 2406 493 37731 8342 722 423
180480 724 367 898 6921 0 5742 2177 24 30 104 216 114 577 815 1664 1374 3532 1006 1756 916 293 572 1030 2822 4519 89 2405 1555 11471 9350 1133 358 24126 5033 27085 10309 3663 226 839 1623 21278 3506 4560 27 6343 1634 633 1812 954 131 117 353 334 454 222 1097 317 84 3214 511 362 1046 4682 2586 1803 22 3098 391 3531 2126 2355 246 2907 7255 1919 3403 282 738 875 5014 811 635 1048 84 984 979 3520 172 1512 14283 19222 1500 1845 2720 445 42764 9345 831 405
5030 256 214 435 2859 0 1121 567 1 6 31 65 16 145 234 590 428 805 216 419 245 104 133 164 782 969 20 560 512 2766 2124 395 160 7871 1484 6930 2895 994 74 277 529 8532 1404 2216 16 2539 770 290 819 363 41 43 157 125 228 106 456 122 37 2130 238 144 566 1553 1073 665 25 1259 179 1297 943 1154 76 1016 2887 744 1538 104 309 313 2027 315 248 504 24 388 430 850 73 455 5493 7051 434 740 817 174 18033 4084 253 173
72025 570 294 860 5977 0 1349 728 6 12 41 33 47 255 386 576 610 965 153 283 385 108 128 111 753 875 18 435 678 2576 2743 560 166 8100 1981 10965 3520 1044 85 352 733 16491 2337 3565 25 4815 1525 546 1551 746 83 106 248 230 364 212 912 273 60 2208 378 239 755 2308 1490 1082 23 1870 222 1480 955 1104 151 933 4036 1469 1895 273 415 609 3828 484 531 657 28 270 507 935 82 548 8887 10573 772 991 508 322 27266 4151 282 245
40053 512 221 880 4979 0 1561 812 2 8 40 19 41 216 378 565 599 933 187 287 391 120 142 90 687 866 27 453 701 2105 2390 550 173 7521 1850 8408 2398 1082 88 419 739 15727 1912 2997 20 4418 1357 495 1479 589 95 90 264 221 308 161 805 223 86 2077 407 219 713 2483 1440 1026 23 1998 238 1413 798 1094 160 951 4100 1285 1865 236 397 655 3718 534 482 610 29 257 433 900 92 526 9015 10345 778 961 587 324 25597 4741 314 197
39874 552 246 877 5301 0 1773 869 1 12 40 34 53 237 432 647 606 1070 214 329 384 110 176 111 708 958 40 520 723 2085 1905 662 173 8192 1537 7701 2293 1129 91 383 783 15988 1983 2886 46 4339 1763 498 1410 749 94 115 283 240 321 174 819 188 66 2115 450 254 665 2534 1372 1044 18 2230 240 1514 968 1698 161 896 4205 1411 2179 256 386 1237 4014 579 530 636 35 252 526 1123 96 613 9734 10148 816 1003 570 360 26838 5877 311 247
